id,APPLICATION_DATE,COMPLETED_DATE,DESCRIPTION,ISSUED_DATE,PERMIT_NUM,PERMIT_TYPE,POSTAL,REVISION_NUM,STATUS,STREET_DIRECTION,STREET_NAME,STREET_NUM,STREET_TYPE,STRUCTURE_TYPE,WORK,PHYSICAL ADDRESS
430287,2001-10-26,2020-05-26,install fence in connection with privately owned outdoor swimming pool.,2020-05-26,01 189765,Small Residential Projects,M4E,0,Closed, ,BALSAM,44,AVE,SFD - Detached,Pool Fence Enclosure,"44 BALSAM AVE  , TORONTO, ON"
430288,2003-08-12,2020-05-26,"Install privately-owned outdoor swimming pool & fence at rear.
see 02 - 178327",2020-05-26,03 165607,Small Residential Projects,M5P,0,Closed, ,KILBARRY,116,RD,SFD - Detached,Pool Fence Enclosure,"116 KILBARRY RD  , TORONTO, ON"
430289,2005-05-03,2020-05-25,Enclosure for a spa at the rear.,2020-05-25,05 128615,Small Residential Projects,M4L,0,Closed, ,SARAH ASHBRIDGE,92,AVE,SFD - Detached,Pool Fence Enclosure,"92 SARAH ASHBRIDGE AVE  , TORONTO, ON"
430290,2017-12-27,2023-06-12,"REVISION #01 - Pool is to be filled in. Building will function as cabana with kitchen, bathroom, shower and change facilities. Changes to wall openings and surrounding landscaping. 

New roof, interior alterations to partitions and reclading/reglazing existing attached indoor pool structure.",2023-02-08,07 273112,Small Residential Projects,M2L,1,Closed, ,BAYVIEW RIDGE,40, ,SFD - Detached,Interior Alterations,"40 BAYVIEW RIDGE    , TORONTO, ON"
430291,2017-06-19,2021-09-07,"Revision 01: Revised garage plans and new concrete pad for pool equipment

To construct detached garage in rear yard of existing dwelling.",2017-06-28,10 153887,Small Residential Projects,M8X,1,Closed, ,KINGS LYNN,38,RD,SFD - Detached,Garage,"38 KINGS LYNN RD  , TORONTO, ON"
430292,2011-07-04,,Proposed pool fence enclosure in rear yard of existing detached dwelling.,2015-06-30,11 231745,Small Residential Projects,M6S,0,Permit Issued, ,HARSHAW,26,AVE,SFD - Detached,Pool Fence Enclosure,"26 HARSHAW AVE  , TORONTO, ON"
430293,2011-11-17,,"Proposal to construct a mixed use building comprising of one 16 storey and one 11 storey tower, and 6 levels below grade parking, which includes four levels (P1, P1 Mezz, P2 and P3) commercial parking garage. Total 408 residential dwelling units.  (This includes three additional floors added as per by-law 1116-2013 applied for Dec/13). Public Pool On The Roof Require Separate Permit.
(Note-see active stand alone Shoring permit and STR 00 CP)",2015-11-10,11 311255,New Building,M5V,0,Inspection,W,KING,621,ST,Mixed Use/Res w Non Res,New Building,"621 KING ST W, TORONTO, ON"
430294,2016-02-18,,"Revision # 01 - To the ground and 2nd floor retail space to suit requirements of creating 2 separate retail spaces.

Proposal to construct a mixed use building comprising of one 16 storey and one 11 storey tower, and 6 levels below grade parking, which includes four levels (P1, P1 Mezz, P2 and P3) commercial parking garage. Total 408 residential dwelling units.  (This includes three additional floors added as per by-law 1116-2013 applied for Dec/13). Public Pool On The Roof Require Separate Permit.
(Note-see active stand alone Shoring permit and STR 00 CP)",2016-04-15,11 311255,New Building,M5V,1,Revision Issued,W,KING,621,ST,Mixed Use/Res w Non Res,New Building,"621 KING ST W, TORONTO, ON"
430295,2014-12-17,2015-11-10,"Conditional Permit - Proposal to construct a mixed use building comprising of one 16 storey and one 11 storey tower, and 6 levels below grade parking, which includes four levels (P1, P1 Mezz, P2 and P3) commercial parking garage. Total 408 residential dwelling units.  (This includes three additional floors added as per by-law 1116-2013 applied for Dec/13). Public Pool On The Roof Require Separate Permit.
(Note-see active stand alone Shoring permit and STR 00 CP)",2015-01-29,11 311255,Conditional Permit,M5V,0,Closed,W,KING,621,ST,Mixed Use/Res w Non Res,New Building,"621 KING ST W, TORONTO, ON"
430296,2018-04-24,,"Revision # 02 - To excavate and underpin under the garage slab for a new pool area.

Revise attic framing.",2018-05-25,12 128326,New Houses,M5N,2,Revision Issued, ,STRATHALLAN,137,BLVD,SFD - Detached,New Building,"137 STRATHALLAN BLVD  , TORONTO, ON"
430297,2023-09-08,,"Rev 02 - Replacement of the existing roofing assemblies at selected roof sections including green roof.
Revision 01 - Green Roof Amendment
(Proposal to construct new two storey community centre with indoor pools)",2023-11-16,12 165641,New Building,   ,2,Revision Issued, ,BLACK CREEK,115,DR,Community Hall,New Building,"115 BLACK CREEK DR  , TORONTO, ON"
