inputID,physicalAddress
430287,"44 BALSAM AVE, TORONTO, ON"
430288,"116 KILBARRY RD, TORONTO, ON"
430289,"92 SARAH ASHBRIDGE AVE, TORONTO, ON"
430290,"40 BAYVIEW RIDGE, TORONTO, ON"
430291,"38 KINGS LYNN RD, TORONTO, ON"
430292,"26 HARSHAW AVE, TORONTO, ON"
430293,"621 KING ST W, TORONTO, ON"
430294,"621 KING ST W, TORONTO, ON"
430295,"621 KING ST W, TORONTO, ON"
430296,"137 STRATHALLAN BLVD, TORONTO, ON"
430297,"115 BLACK CREEK DR, TORONTO, ON"
430298,"891 MORNINGSIDE AVE, TORONTO, ON"
430299,"14 ST IVES AVE, TORONTO, ON"
430300,"6 ELM AVE, TORONTO, ON"
430301,"6 ELM AVE, TORONTO, ON"
430302,"2621 LAKE SHORE BLVD W, TORONTO, ON"
430303,"1 DOUGLAS DR, TORONTO, ON"
430304,"2175 LAKE SHORE BLVD W, TORONTO, ON"
430305,"2 STRACHAN AVE, TORONTO, ON"
430306,"2 STRACHAN AVE, TORONTO, ON"
430307,"2 STRACHAN AVE, TORONTO, ON"
430308,"5 HILLDOWNTREE RD, TORONTO, ON"
430309,"2613 LAKE SHORE BLVD W, TORONTO, ON"
430310,"39 STRATHALLAN BLVD, TORONTO, ON"
430311,"130 BLOOR ST W, TORONTO, ON"
430312,"18 NORCROSS RD, TORONTO, ON"
