Categories,Question,Answer
Informations générales,Qu'est-ce que le géocodage?,"D'une manière générale, le géocodage est la capacité de résoudre une adresse civique textuelle en son point correspondant sur la Terre (c'est-à-dire en latitude et en longitude)."
Informations générales,Existe-t-il différents types de géocodage?,"Oui. Le plus simple est la recherche directe d'une seule adresse. Il convient pour les recherches ponctuelles. Cependant, la plupart des gens ont des documents ou des dossiers qui contiennent des centaines, voire des dizaines de milliers d'adresses municipales. Le faire manuellement serait source d'erreurs, peu opportun et inefficace. C'est là que le géocodage en masse s'avère utile. Généralement, ce géocodage en vrac est réalisé par des praticiens SIG chevronnés qui utilisent des logiciels de bureau spécialisés et coûteux ainsi que des données personnalisées. Cependant, avec un point de terminaison REST, des services frontaux peuvent être créés pour itérer de manière programmatique ou parcourir des rangées et des rangées de fichiers, en renvoyant au minimum les latitudes et les longitudes correspondantes. Le géocodage inversé est exactement ce à quoi il ressemble : au lieu d'avoir l'adresse, il prend les paires latitude/longitude et renvoie une liste candidate des adresses civiques correspondantes les plus proches."
Détails techniques,Comment puis-je développer des programmes à l'aide des points d'extrémité REST de Pelias?,"Il est possible d'utiliser n'importe quel langage de programmation front-end ou back-end. Les langages les plus couramment utilisés sont R, Python et les bibliothèques JavaScript. Voir les extraits précédents pour des exemples de la façon d'incorporer les API REST."
Coûts et licences,Esri et Google proposent des services de géocodage. Pourquoi devrais-je utiliser votre service Pelias?,"Coût : 0,004$ à 0,006$ par recherche. Cela peut s'additionner rapidement avec le nombre moyen de lignes qu'un fichier contient dans un projet donné. Par exemple, 100 000 adresses peuvent coûter entre 400 et 600 dollars par session de recherche. Ce coût ne tient pas compte de l'exécution d'une deuxième ou d'une troisième session de recherche d'adresses à des fins de contrôle et d'assurance qualité, ni des adresses qui n'ont pas été résolues, ce qui nécessite une annulation manuelle. Facilité d'utilisation : le front-end du Geocoder permet de se passer d'applications SIG de bureau coûteuses et spécialisées, ainsi que d'experts en la matière, à condition que les formats d'adresse comportent au minimum un numéro de rue, un nom de rue, un type de rue, une ville et une province. Il peut gérer des incohérences mineures de formatage. Confidentialité : ces recherches ne sont pas envoyées à un tiers sur le réseau ou stockées ailleurs. Cela réduit la probabilité d'une violation de la vie privée. En utilisant le géocodeur HC-DTB, il est possible de le faire entièrement dans un environnement protégé."
Informations générales,S'agit-il de la version finale du service Pelias?,"Non. Il fait l'objet d'améliorations constantes. Nous vous invitons à nous faire part de vos commentaires et à vous engager auprès de notre équipe de développement afin d'évaluer et d'intégrer vos suggestions."
Fonctionnalités et capacités,D'autres ministères ou agences fédérales n'ont-ils pas accès au géocodage?,"Oui, mais pour une courte période de temps. Le service de géocodage de StatCan a été mis hors ligne à la fin de 2023. RNCan dispose d'un service de géocodage, mais sa précision spatiale n'est pas de niveau « toit » et est, au mieux, interpolée (estimée) par segment de rue. Malheureusement, cela ne répond pas aux besoins/attentes modernes des services de géocodage d'entreprise."
Informations générales,Quelle est la source des données d'adresses?,"Actuellement, il y a deux sources de données. La source par défaut pour le géocodage en masse est les données OpenStreetMap (année ___). La seconde est le registre d'adresses de StatCan, qui est accessible au public à des fins de vérification."
Détails techniques,"La latitude et la longitude ne ressemblent pas à des degrés-minute-secondes, quel est ce format?","Le format indiqué est celui des degrés décimaux en latitude et en longitude. En outre, le système de coordonnées utilisé est le WGS 1984. Cette connaissance aura un impact et doit être connue lors de l'utilisation pour des utilisations post-analytiques."
Fonctionnalités et capacités,Quelles sont les autres fonctionnalités que vous envisagez de développer?,"Nous envisageons d'intégrer les fonctionnalités suivantes dans le back-end et le front-end : i. géocodage inversé ii. QSTRM pour la détermination des adresses rurales de l'Ouest canadien iii. Possibilité de modifier les données/coordonnées en sortie iv. Exportation de fichiers de forme/geojson."
Détails techniques,Quels sont les logiciels et solutions SIG à ma disposition une fois que j'ai reçu mes points géocodés?,"Il y a quelques solutions qui dépendent de votre niveau de complexité et d'engagement. i. HC/PHAC développe une pile (H)ELK où vous pouvez demander un nom d'utilisateur/mot de passe pour le compte Kibana Elastic Map. Vous pouvez faire de la cartographie thématique et superposer vos points. Ii. Centre de téléchargement de logiciels : QGIS est disponible pour installation sur votre ordinateur local.iii. Esri ArcPro 3.x : DTB Geomatics dispose d'environnements VM spécialisés avec le logiciel Esri et la capacité d'évoluer à la demande pour des processus d'analyse spatiale plus lourds.""
Coûts et licences,Ce service est-il gratuit?,"Pour l'instant, oui. Il suffit de respecter le volume et la fréquence des appels. À terme, nous mettrons en place des mécanismes de recouvrement des coûts (par exemple, un abonnement à jetons, mais ce sera bien plus rentable que les services de Google ou d'Esri)."
Informations générales,Que puis-je faire avec les résultats du géocodage?,"Vous avez probablement beaucoup de données spatiales piégées/non exploitées dans vos fichiers Excel. Si une colonne contient une adresse au format canadien, il est possible de convertir sa latitude et sa longitude.   Et alors? Vous disposez maintenant de tous les autres champs collectés dans le même fichier, et vous avez son emplacement sur la Terre où vous pouvez effectuer des analyses spatiales telles que : l'analyse de grappes et la détection d'anonmoles ; des statistiques sommaires par frontières telles que les régions sanitaires/LHIN ; des cartes thermiques ; des analyses présectives telles que des points de départ/fin pour l'optimisation de l'analyse des déplacements pour la distribution d'EPI, de vaccins, la détermination des seuils de déplacement, etc."
Informations générales, Dois-je utiliser l'API?,"Le groupe Géomatique de la DTB a mis à disposition une application Web conviviale, optimisée par l'UX/UI, qui vous permettra de télécharger votre fichier Excel, de vérifier le contenu, de voir les résultats individuels et d'exporter la latitude/longitude, la source, le type de correspondance vers un autre fichier pour l'utiliser dans votre parcours analytique. C'est une excellente option si vous avez des obstacles technologiques tels que l'incapacité d'accéder à certains langages de programmation ou si vous n'êtes pas sûr de vous"
Informations générales, y a-t-il une version bilingue?,Elle est actuellement en cours de réalisation. 
Informations générales,"Cette application est-elle conforme à la norme WGAC 2.0 'AA' ","Théoriquement. Rien n'empêche une amélioration continue puisque le code source est accessible à notre équipe de développement.

